strain,location
AB1,"Adelaide, Australia"
AB3,"Adelaide, Australia"
CB4853,"Altadena, USA"
CB4854,"Altadena, USA"
CB4856,"Hawaii"
CB4858,"Pasadena, USA"
ED3017,"Ediburgh, Scotland"
ED3021,"Edinburgh, Scotland"
ED3040,"Johannesburg, South Africa"
ED3049,"Ceres, South Africa"
ED3052,"Ceres, South Africa"
ED3057,"Limuru, Kenya"
ED3072,"Limuru, Kenya"
GXW1,"Wuhan City, Hubei Province, China"
JU1088,"Kakegawa, Japan"
JU1171,"Concepcion, Chile"
JU1400,"Sevilla, Spain"
JU1401,"Carmona, Spain"
JU1652,"Montevideo, Uruguay"
JU263,"Le Blanc, France"
JU300,"Le Blanc, France"
JU312,"Merlet, France"
JU313,"Merlet, France"
JU322,"Merlet, France"
JU345,"Merlet, France"
JU360,"Franconville, France"
JU361,"Franconville, France"
JU394,"Hermanville, France"
JU397,"Hermanville, France"
JU533,"Primel Tregastel, France"
JU642,"Le Perreux-sur-Marne, France"
JU775,"Lisbon, Portugal"
JXW1,"Wuhan City, Hubei Province, China"
LKC34,"Madagascar"
MY1,"Lingen, Germany"
MY14,"Mecklenbeck, Germany"
MY16,"Mecklenbeck, Germany"
MY2,"Roxel, Germany"
MY6,"Roxel, Germany"
PX174,"Lincoln City, USA"
